1:1	بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِيمِ	bismi lːaːhi rːaħmaːni rːaħiːm
22:28	لِّيَشۡهَدُواۡ مَنَـٰفِعَ لَهُمۡ وَيَذۡكُرُواۡ ٱسۡمَ ٱللَّهِ فِىٓ أَيَّامٍ مَّعۡلُومَـٰتٍ عَلَىٰ مَا رَزَقَهُم مِّنۢ بَهِيمَةِ ٱلۡأَنۡعَـٰمِ‌ۖ فَكُلُواۡ مِنۡهَا وَأَطۡعِمُواۡ ٱلۡبَآئِسَ ٱلۡفَقِيرَ	lːijaʃhaduː manaːfiʕa lahum wajaðkuruː sma lːaːhi fiːː ʔajːaːmi mː̃aʕluːmaːtin ʕalaː maː razaqahu mː̃iᵐ bahiːmati lʔanʕaːmi fakuluː minhaː waʔatˤᵊʕimuː lbaːːʔisa lfaqiːr
22:29	ثُمَّ لۡيَقۡضُواۡ تَفَثَهُمۡ وَلۡيُوفُواۡ نُذُورَهُمۡ وَلۡيَطَّوَّفُواۡ بِٱلۡبَيۡتِ ٱلۡعَتِيقِ	θumː̃a ljaqᵊdˤuː tafaθahum waljuːfuː nuðuːrahum waljatˤːawːafuː bilbajti lʕatiːqᵊ
22:30	ذٰلِكَ وَمَن يُعَظِّمۡ حُرُمَـٰتِ ٱللَّهِ فَهُوَ خَيۡرٌ لَّهُۥ عِندَ رَبِّهِۦ‌ۗ وَأُحِلَّتۡ لَكُمُ ٱلۡأَنۡعَـٰمُ إِلَّا مَا يُتۡلَىٰ عَلَيۡكُمۡ‌ۖ فَٱجۡتَنِبُواۡ ٱلرِّجۡسَ مِنَ ٱلۡأَوۡثَـٰنِ وَٱجۡتَنِبُواۡ قَوۡلَ ٱلزُّورِ	ðaːlika wama j̃ːuʕaðˤːim ħurumaːti lːaːhi fahuwa xajru lːahuː ʕiⁿda rabːihiː waʔuħilːat lakumu lʔanʕaːmu ʔilːaː maː jutlaː ʕalajkum fad͡ʒᵊtanibuː rːid͡ʒᵊsa mina lʔawθaːni wad͡ʒᵊtanibuː qawla zːuːr
22:31	حُنَفَآءَ لِلَّهِ غَيۡرَ مُشۡرِكِينَ بِهِۦ‌ۚ وَمَن يُشۡرِكۡ بِٱللَّهِ فَكَأَنَّمَا خَرَّ مِنَ ٱلسَّمَآءِ فَتَخۡطَفُهُ ٱلطَّيۡرُ أَوۡ تَهۡوِى بِهِ ٱلرِّيحُ فِى مَكَانٍ سَحِيقٍ	ħunafaːːʔa lilːaːhi ɣajra muʃrikiːna bihiː wama j̃ːuʃrik bilːaːhi fakaʔanː̃amaː xarːa mina sːamaːːʔi fataxtˤafuhu tˤːajru ʔaw tahwiː bihi rːiːħu fiː makaːniⁿ saħiːqᵊ
22:32	ذٰلِكَ وَمَن يُعَظِّمۡ شَعَـٰٓئِرَ ٱللَّهِ فَإِنَّهَا مِن تَقۡوَى ٱلۡقُلُوبِ	ðaːlika wama j̃ːuʕaðˤːim ʃaʕaːːʔira lːaːhi faʔinː̃ahaː miⁿ taqᵊwaː lquluːbᵊ
22:33	لَكُمۡ فِيهَا مَنَـٰفِعُ إِلَىٰٓ أَجَلٍ مُّسَمًّى ثُمَّ مَحِلُّهَآ إِلَى ٱلۡبَيۡتِ ٱلۡعَتِيقِ	lakum fiːhaː manaːfiʕu ʔilaːː ʔad͡ʒali mː̃usamː̃aⁿ θumː̃a maħilːuhaːː ʔilaː lbajti lʕatiːqᵊ
22:34	وَلِكُلِّ أُمَّةٍ جَعَلۡنَا مَنسَكًا لِّيَذۡكُرُواۡ ٱسۡمَ ٱللَّهِ عَلَىٰ مَا رَزَقَهُم مِّنۢ بَهِيمَةِ ٱلۡأَنۡعَـٰمِ‌ۗ فَإِلَـٰهُكُمۡ إِلَـٰهٌ وٰحِدٌ فَلَهُۥٓ أَسۡلِمُواۡ‌ۗ وَبَشِّرِ ٱلۡمُخۡبِتِينَ	walikulːi ʔumː̃atiⁿ d͡ʒaʕalnaː maⁿsaka lːijaðkuruː sma lːaːhi ʕalaː maː razaqahu mː̃iᵐ bahiːmati lʔanʕaːmi faʔilaːhukum ʔilaːhu aːħ̃ːiduⁿ falahuːː ʔaslimuː wabaʃːiri lmuxbitiːn
22:35	ٱلَّذِينَ إِذَا ذُكِرَ ٱللَّهُ وَجِلَتۡ قُلُوبُهُمۡ وَٱلصَّـٰبِرِينَ عَلَىٰ مَآ أَصَابَهُمۡ وَٱلۡمُقِيمِى ٱلصَّلَوٰةِ وَمِمَّا رَزَقۡنَـٰهُمۡ يُنفِقُونَ	ʔalːaðiːna ʔiðaː ðukira lːaːhu wad͡ʒilat quluːbuhum wasˤːaːbiriːna ʕalaː maːː ʔasˤaːbahum walmuqiːmiː sˤːalaːti wamimː̃aː razaqᵊnaːhum juⁿfiquːn
22:36	وَٱلۡبُدۡنَ جَعَلۡنَـٰهَا لَكُم مِّن شَعَـٰٓئِرِ ٱللَّهِ لَكُمۡ فِيهَا خَيۡرٌ‌ۖ فَٱذۡكُرُواۡ ٱسۡمَ ٱللَّهِ عَلَيۡهَا صَوَآفَّ‌ۖ فَإِذَا وَجَبَتۡ جُنُوبُهَا فَكُلُواۡ مِنۡهَا وَأَطۡعِمُواۡ ٱلۡقَانِعَ وَٱلۡمُعۡتَرَّ‌ۚ كَذٰلِكَ سَخَّرۡنَـٰهَا لَكُمۡ لَعَلَّكُمۡ تَشۡكُرُونَ	walbudᵊna d͡ʒaʕalnaːhaː laku mː̃iⁿ ʃaʕaːːʔiri lːaːhi lakum fiːhaː xajruⁿ faðkuruː sma lːaːhi ʕalajhaː sˤawaːːːfːa faʔiðaː wad͡ʒabat d͡ʒunuːbuhaː fakuluː minhaː waʔatˤᵊʕimuː lqaːniʕa walmuʕtarːa kaðaːlika saxːarnaːhaː lakum laʕalːakum taʃkuruːn
22:37	لَن يَنَالَ ٱللَّهَ لُحُومُهَا وَلَا دِمَآؤُهَا وَلَـٰكِن يَنَالُهُ ٱلتَّقۡوَىٰ مِنكُمۡ‌ۚ كَذٰلِكَ سَخَّرَهَا لَكُمۡ لِتُكَبِّرُواۡ ٱللَّهَ عَلَىٰ مَا هَدَٮٰكُمۡ‌ۗ وَبَشِّرِ ٱلۡمُحۡسِنِينَ	la j̃ːanaːla lːaːha luħuːmuhaː walaː dimaːːʔuhaː walaːki j̃ːanaːluhu tːaqᵊwaː miⁿkum kaðaːlika saxːarahaː lakum litukabːiruː lːaːha ʕalaː maː hadaːkum wabaʃːiri lmuħsiniːn
22:38	۞إِنَّ ٱللَّهَ يُدٰفِعُ عَنِ ٱلَّذِينَ ءَامَنُوٓاۡ‌ۗ إِنَّ ٱللَّهَ لَا يُحِبُّ كُلَّ خَوَّانٍ كَفُورٍ	ʔinː̃a lːaːha judaːfiʕu ʕani lːaðiːna ʔaːmanuːː ʔinː̃a lːaːha laː juħibːu kulːa xawːaːniⁿ kafuːr
22:39	أُذِنَ لِلَّذِينَ يُقَـٰتَلُونَ بِأَنَّهُمۡ ظُلِمُواۡ‌ۚ وَإِنَّ ٱللَّهَ عَلَىٰ نَصۡرِهِمۡ لَقَدِيرٌ	ʔuðina lilːaðiːna juqaːtaluːna biʔanː̃ahum ðˤulimuː waʔinː̃a lːaːha ʕalaː nasˤrihim laqadiːr
22:40	ٱلَّذِينَ أُخۡرِجُواۡ مِن دِيَـٰرِهِم بِغَيۡرِ حَقٍّ إِلَّآ أَن يَقُولُواۡ رَبُّنَا ٱللَّهُ‌ۗ وَلَوۡلَا دَفۡعُ ٱللَّهِ ٱلنَّاسَ بَعۡضَهُم بِبَعۡضٍ لَّهُدِّمَتۡ صَوٰمِعُ وَبِيَعٌ وَصَلَوٰتٌ وَمَسَـٰجِدُ يُذۡكَرُ فِيهَا ٱسۡمُ ٱللَّهِ كَثِيرًا‌ۗ وَلَيَنصُرَنَّ ٱللَّهُ مَن يَنصُرُهُۥٓ‌ۗ إِنَّ ٱللَّهَ لَقَوِىٌّ عَزِيزٌ	ʔalːaðiːna ʔuxrid͡ʒuː miⁿ dijaːrihiᵐ biɣajri ħaqːin ʔilːaːː ʔa j̃ːaquːluː rabːunaː lːaːhu walawlaː dafʕu lːaːhi nː̃aːsa baʕdˤahuᵐ bibaʕdˤi lːahudːimat sˤawaːmiʕu wabijaʕu w̃ːasˤalawaːtu w̃ːamasaːd͡ʒidu juðkaru fiːhaː smu lːaːhi kaθiːra w̃ːalajaⁿsˤuranː̃a lːaːhu ma j̃ːaⁿsˤuruhuːː ʔinː̃a lːaːha laqawijːun ʕaziːz
22:41	ٱلَّذِينَ إِن مَّكَّنَّـٰهُمۡ فِى ٱلۡأَرۡضِ أَقَامُواۡ ٱلصَّلَوٰةَ وَءَاتَوُاۡ ٱلزَّكَوٰةَ وَأَمَرُواۡ بِٱلۡمَعۡرُوفِ وَنَهَوۡاۡ عَنِ ٱلۡمُنكَرِ‌ۗ وَلِلَّهِ عَـٰقِبَةُ ٱلۡأُمُورِ	ʔalːaðiːna ʔi mː̃akːanː̃aːhum fiː lʔardˤi ʔaqaːmuː sˤːalaːta waʔaːtawu zːakaːta waʔamaruː bilmaʕruːfi wanahaw ʕani lmuⁿkari walilːaːhi ʕaːqibatu lʔumuːr
22:42	وَإِن يُكَذِّبُوكَ فَقَدۡ كَذَّبَتۡ قَبۡلَهُمۡ قَوۡمُ نُوحٍ وَعَادٌ وَثَمُودُ	waʔi j̃ːukaðːibuːka faqadᵊ kaðːabat qabᵊlahum qawmu nuːħi w̃ːaʕaːdu w̃ːaθamuːdᵊ
22:43	وَقَوۡمُ إِبۡرٰهِيمَ وَقَوۡمُ لُوطٍ	waqawmu ʔibᵊraːhiːma waqawmu luːtˤᵊ
22:44	وَأَصۡحَـٰبُ مَدۡيَنَ‌ۖ وَكُذِّبَ مُوسَىٰ فَأَمۡلَيۡتُ لِلۡكَـٰفِرِينَ ثُمَّ أَخَذۡتُهُمۡ‌ۖ فَكَيۡفَ كَانَ نَكِيرِ	waʔasˤħaːbu madᵊjana wakuðːiba muːsaː faʔamlajtu lilkaːfiriːna θumː̃a ʔaxaðtuhum fakajfa kaːna nakiːr
22:45	فَكَأَيِّن مِّن قَرۡيَةٍ أَهۡلَكۡنَـٰهَا وَهِىَ ظَالِمَةٌ فَهِىَ خَاوِيَةٌ عَلَىٰ عُرُوشِهَا وَبِئۡرٍ مُّعَطَّلَةٍ وَقَصۡرٍ مَّشِيدٍ	fakaʔajːi mː̃iⁿ qarjatin ʔahlaknaːhaː wahija ðˤaːlimatuⁿ fahija xaːwijatun ʕalaː ʕuruːʃihaː wabiʔri mː̃uʕatˤːalati w̃ːaqasˤri mː̃aʃiːdᵊ
22:46	أَفَلَمۡ يَسِيرُواۡ فِى ٱلۡأَرۡضِ فَتَكُونَ لَهُمۡ قُلُوبٌ يَعۡقِلُونَ بِهَآ أَوۡ ءَاذَانٌ يَسۡمَعُونَ بِهَا‌ۖ فَإِنَّهَا لَا تَعۡمَى ٱلۡأَبۡصَـٰرُ وَلَـٰكِن تَعۡمَى ٱلۡقُلُوبُ ٱلَّتِى فِى ٱلصُّدُورِ	ʔafalam jasiːruː fiː lʔardˤi fatakuːna lahum quluːbu j̃ːaʕqiluːna bihaːː ʔaw ʔaːðaːnu j̃ːasmaʕuːna bihaː faʔinː̃ahaː laː taʕmaː lʔabᵊsˤaːru walaːkiⁿ taʕmaː lquluːbu lːatiː fiː sˤːuduːr
22:47	وَيَسۡتَعۡجِلُونَكَ بِٱلۡعَذَابِ وَلَن يُخۡلِفَ ٱللَّهُ وَعۡدَهُۥ‌ۚ وَإِنَّ يَوۡمًا عِندَ رَبِّكَ كَأَلۡفِ سَنَةٍ مِّمَّا تَعُدُّونَ	wajastaʕd͡ʒiluːnaka bilʕaðaːbi wala j̃ːuxlifa lːaːhu waʕdahuː waʔinː̃a jawman ʕiⁿda rabːika kaʔalfi sanati mː̃imː̃aː taʕudːuːn
22:48	وَكَأَيِّن مِّن قَرۡيَةٍ أَمۡلَيۡتُ لَهَا وَهِىَ ظَالِمَةٌ ثُمَّ أَخَذۡتُهَا وَإِلَىَّ ٱلۡمَصِيرُ	wakaʔajːi mː̃iⁿ qarjatin ʔamlajtu lahaː wahija ðˤaːlimatuⁿ θumː̃a ʔaxaðtuhaː waʔilajːa lmasˤiːr
22:49	قُلۡ يَـٰٓأَيُّهَا ٱلنَّاسُ إِنَّمَآ أَنَاۡ لَكُمۡ نَذِيرٌ مُّبِينٌ	qul jaːːʔajːuhaː nː̃aːsu ʔinː̃amaːː ʔanaː lakum naðiːru mː̃ubiːn
22:50	فَٱلَّذِينَ ءَامَنُواۡ وَعَمِلُواۡ ٱلصَّـٰلِحَـٰتِ لَهُم مَّغۡفِرَةٌ وَرِزۡقٌ كَرِيمٌ	falːaðiːna ʔaːmanuː waʕamiluː sˤːaːliħaːti lahu mː̃aɣfiratu w̃ːarizquⁿ kariːm
22:51	وَٱلَّذِينَ سَعَوۡاۡ فِىٓ ءَايَـٰتِنَا مُعَـٰجِزِينَ أُوۡلَـٰٓئِكَ أَصۡحَـٰبُ ٱلۡجَحِيمِ	walːaðiːna saʕaw fiːː ʔaːjaːtinaː muʕaːd͡ʒiziːna ʔulaːːʔika ʔasˤħaːbu ld͡ʒaħiːm
22:52	وَمَآ أَرۡسَلۡنَا مِن قَبۡلِكَ مِن رَّسُولٍ وَلَا نَبِىٍّ إِلَّآ إِذَا تَمَنَّىٰٓ أَلۡقَى ٱلشَّيۡطَـٰنُ فِىٓ أُمۡنِيَّتِهِۦ فَيَنسَخُ ٱللَّهُ مَا يُلۡقِى ٱلشَّيۡطَـٰنُ ثُمَّ يُحۡكِمُ ٱللَّهُ ءَايَـٰتِهِۦ‌ۗ وَٱللَّهُ عَلِيمٌ حَكِيمٌ	wamaːː ʔarsalnaː miⁿ qabᵊlika mi rːasuːli w̃ːalaː nabijːin ʔilːaːː ʔiðaː tamanː̃aːː ʔalqaː ʃːajtˤaːnu fiːː ʔumnijːatihiː fajaⁿsaxu lːaːhu maː julqiː ʃːajtˤaːnu θumː̃a juħkimu lːaːhu ʔaːjaːtihiː walːaːhu ʕaliːmun ħakiːm
22:53	لِّيَجۡعَلَ مَا يُلۡقِى ٱلشَّيۡطَـٰنُ فِتۡنَةً لِّلَّذِينَ فِى قُلُوبِهِم مَّرَضٌ وَٱلۡقَاسِيَةِ قُلُوبُهُمۡ‌ۗ وَإِنَّ ٱلظَّـٰلِمِينَ لَفِى شِقَاقِۭ بَعِيدٍ	lːijad͡ʒᵊʕala maː julqiː ʃːajtˤaːnu fitnata lːilːaðiːna fiː quluːbihi mː̃aradˤu w̃ːalqaːsijati quluːbuhum waʔinː̃a ðˤːaːlimiːna lafiː ʃiqaːqiᵐ baʕiːdᵊ
22:54	وَلِيَعۡلَمَ ٱلَّذِينَ أُوتُواۡ ٱلۡعِلۡمَ أَنَّهُ ٱلۡحَقُّ مِن رَّبِّكَ فَيُؤۡمِنُواۡ بِهِۦ فَتُخۡبِتَ لَهُۥ قُلُوبُهُمۡ‌ۗ وَإِنَّ ٱللَّهَ لَهَادِ ٱلَّذِينَ ءَامَنُوٓاۡ إِلَىٰ صِرٰطٍ مُّسۡتَقِيمٍ	walijaʕlama lːaðiːna ʔuːtuː lʕilma ʔanː̃ahu lħaqːu mi rːabːika fajuʔminuː bihiː fatuxbita lahuː quluːbuhum waʔinː̃a lːaːha lahaːdi lːaðiːna ʔaːmanuːː ʔilaː sˤiraːtˤi mː̃ustaqiːm
22:55	وَلَا يَزَالُ ٱلَّذِينَ كَفَرُواۡ فِى مِرۡيَةٍ مِّنۡهُ حَتَّىٰ تَأۡتِيَهُمُ ٱلسَّاعَةُ بَغۡتَةً أَوۡ يَأۡتِيَهُمۡ عَذَابُ يَوۡمٍ عَقِيمٍ	walaː jazaːlu lːaðiːna kafaruː fiː mirjati mː̃inhu ħatːaː taʔtijahumu sːaːʕatu baɣtatan ʔaw jaʔtijahum ʕaðaːbu jawmin ʕaqiːm
22:56	ٱلۡمُلۡكُ يَوۡمَئِذٍ لِّلَّهِ يَحۡكُمُ بَيۡنَهُمۡ‌ۚ فَٱلَّذِينَ ءَامَنُواۡ وَعَمِلُواۡ ٱلصَّـٰلِحَـٰتِ فِى جَنَّـٰتِ ٱلنَّعِيمِ	ʔalmulku jawmaʔiði lːilːaːhi jaħkumu bajnahum falːaðiːna ʔaːmanuː waʕamiluː sˤːaːliħaːti fiː d͡ʒanː̃aːti nː̃aʕiːm
22:57	وَٱلَّذِينَ كَفَرُواۡ وَكَذَّبُواۡ بِـَٔـايَـٰتِنَا فَأُوۡلَـٰٓئِكَ لَهُمۡ عَذَابٌ مُّهِينٌ	walːaðiːna kafaruː wakaðːabuː biʔaːjaːtinaː faʔulaːːʔika lahum ʕaðaːbu mː̃uhiːn
22:58	وَٱلَّذِينَ هَاجَرُواۡ فِى سَبِيلِ ٱللَّهِ ثُمَّ قُتِلُوٓاۡ أَوۡ مَاتُواۡ لَيَرۡزُقَنَّهُمُ ٱللَّهُ رِزۡقًا حَسَنًا‌ۚ وَإِنَّ ٱللَّهَ لَهُوَ خَيۡرُ ٱلرّٰزِقِينَ	walːaðiːna haːd͡ʒaruː fiː sabiːli lːaːhi θumː̃a qutiluːː ʔaw maːtuː lajarzuqanː̃ahumu lːaːhu rizqan ħasana w̃ːaʔinː̃a lːaːha lahuwa xajru rːaːziqiːn
22:59	لَيُدۡخِلَنَّهُم مُّدۡخَلاً يَرۡضَوۡنَهُۥ‌ۗ وَإِنَّ ٱللَّهَ لَعَلِيمٌ حَلِيمٌ	lajudᵊxilanː̃ahu mː̃udᵊxala j̃ːardˤawnahuː waʔinː̃a lːaːha laʕaliːmun ħaliːm
22:60	۞ذٰلِكَ وَمَنۡ عَاقَبَ بِمِثۡلِ مَا عُوقِبَ بِهِۦ ثُمَّ بُغِىَ عَلَيۡهِ لَيَنصُرَنَّهُ ٱللَّهُ‌ۗ إِنَّ ٱللَّهَ لَعَفُوٌّ غَفُورٌ	ðaːlika waman ʕaːqaba bimiθli maː ʕuːqiba bihiː θumː̃a buɣija ʕalajhi lajaⁿsˤuranː̃ahu lːaːhu ʔinː̃a lːaːha laʕafuwːun ɣafuːr
22:61	ذٰلِكَ بِأَنَّ ٱللَّهَ يُولِجُ ٱلَّيۡلَ فِى ٱلنَّهَارِ وَيُولِجُ ٱلنَّهَارَ فِى ٱلَّيۡلِ وَأَنَّ ٱللَّهَ سَمِيعُۢ بَصِيرٌ	ðaːlika biʔanː̃a lːaːha juːlid͡ʒu lːajla fiː nː̃ahaːri wajuːlid͡ʒu nː̃ahaːra fiː lːajli waʔanː̃a lːaːha samiːʕuᵐ basˤiːr
22:62	ذٰلِكَ بِأَنَّ ٱللَّهَ هُوَ ٱلۡحَقُّ وَأَنَّ مَا يَدۡعُونَ مِن دُونِهِۦ هُوَ ٱلۡبَـٰطِلُ وَأَنَّ ٱللَّهَ هُوَ ٱلۡعَلِىُّ ٱلۡكَبِيرُ	ðaːlika biʔanː̃a lːaːha huwa lħaqːu waʔanː̃a maː jadᵊʕuːna miⁿ duːnihiː huwa lbaːtˤilu waʔanː̃a lːaːha huwa lʕalijːu lkabiːr
22:63	أَلَمۡ تَرَ أَنَّ ٱللَّهَ أَنزَلَ مِنَ ٱلسَّمَآءِ مَآءً فَتُصۡبِحُ ٱلۡأَرۡضُ مُخۡضَرَّةً‌ۗ إِنَّ ٱللَّهَ لَطِيفٌ خَبِيرٌ	ʔalam tara ʔanː̃a lːaːha ʔaⁿzala mina sːamaːːʔi maːːʔaⁿ fatusˤbiħu lʔardˤu muxdˤarːatan ʔinː̃a lːaːha latˤiːfun xabiːr
22:64	لَّهُۥ مَا فِى ٱلسَّمَـٰوٰتِ وَمَا فِى ٱلۡأَرۡضِ‌ۗ وَإِنَّ ٱللَّهَ لَهُوَ ٱلۡغَنِىُّ ٱلۡحَمِيدُ	lːahuː maː fiː sːamaːwaːti wamaː fiː lʔardˤi waʔinː̃a lːaːha lahuwa lɣanijːu lħamiːdᵊ
22:65	أَلَمۡ تَرَ أَنَّ ٱللَّهَ سَخَّرَ لَكُم مَّا فِى ٱلۡأَرۡضِ وَٱلۡفُلۡكَ تَجۡرِى فِى ٱلۡبَحۡرِ بِأَمۡرِهِۦ وَيُمۡسِكُ ٱلسَّمَآءَ أَن تَقَعَ عَلَى ٱلۡأَرۡضِ إِلَّا بِإِذۡنِهِۦٓ‌ۗ إِنَّ ٱللَّهَ بِٱلنَّاسِ لَرَءُوفٌ رَّحِيمٌ	ʔalam tara ʔanː̃a lːaːha saxːara laku mː̃aː fiː lʔardˤi walfulka tad͡ʒᵊriː fiː lbaħri biʔamrihiː wajumsiku sːamaːːʔa ʔaⁿ taqaʕa ʕalaː lʔardˤi ʔilːaː biʔiðnihiːː ʔinː̃a lːaːha binː̃aːsi laraʔuːfu rːaħiːm
22:66	وَهُوَ ٱلَّذِىٓ أَحۡيَاكُمۡ ثُمَّ يُمِيتُكُمۡ ثُمَّ يُحۡيِيكُمۡ‌ۗ إِنَّ ٱلۡإِنسَـٰنَ لَكَفُورٌ	wahuwa lːaðiːː ʔaħjaːkum θumː̃a jumiːtukum θumː̃a juħjiːkum ʔinː̃a lʔiⁿsaːna lakafuːr
22:67	لِّكُلِّ أُمَّةٍ جَعَلۡنَا مَنسَكًا هُمۡ نَاسِكُوهُ‌ۖ فَلَا يُنَـٰزِعُنَّكَ فِى ٱلۡأَمۡرِ‌ۚ وَٱدۡعُ إِلَىٰ رَبِّكَ‌ۖ إِنَّكَ لَعَلَىٰ هُدًى مُّسۡتَقِيمٍ	lːikulːi ʔumː̃atiⁿ d͡ʒaʕalnaː maⁿsakan hum naːsikuːhu falaː junaːziʕunː̃aka fiː lʔamri wadᵊʕu ʔilaː rabːika ʔinː̃aka laʕalaː huda mː̃ustaqiːm
22:68	وَإِن جَـٰدَلُوكَ فَقُلِ ٱللَّهُ أَعۡلَمُ بِمَا تَعۡمَلُونَ	waʔiⁿ d͡ʒaːdaluːka faquli lːaːhu ʔaʕlamu bimaː taʕmaluːn
22:69	ٱللَّهُ يَحۡكُمُ بَيۡنَكُمۡ يَوۡمَ ٱلۡقِيَـٰمَةِ فِيمَا كُنتُمۡ فِيهِ تَخۡتَلِفُونَ	ʔalːaːhu jaħkumu bajnakum jawma lqijaːmati fiːmaː kuⁿtum fiːhi taxtalifuːn
22:70	أَلَمۡ تَعۡلَمۡ أَنَّ ٱللَّهَ يَعۡلَمُ مَا فِى ٱلسَّمَآءِ وَٱلۡأَرۡضِ‌ۗ إِنَّ ذٰلِكَ فِى كِتَـٰبٍ‌ۚ إِنَّ ذٰلِكَ عَلَى ٱللَّهِ يَسِيرٌ	ʔalam taʕlam ʔanː̃a lːaːha jaʕlamu maː fiː sːamaːːʔi walʔardˤi ʔinː̃a ðaːlika fiː kitaːbin ʔinː̃a ðaːlika ʕalaː lːaːhi jasiːr
22:71	وَيَعۡبُدُونَ مِن دُونِ ٱللَّهِ مَا لَمۡ يُنَزِّلۡ بِهِۦ سُلۡطَـٰنًا وَمَا لَيۡسَ لَهُم بِهِۦ عِلۡمٌ‌ۗ وَمَا لِلظَّـٰلِمِينَ مِن نَّصِيرٍ	wajaʕbuduːna miⁿ duːni lːaːhi maː lam junazːil bihiː sultˤaːna w̃ːamaː lajsa lahuᵐ bihiː ʕilmu w̃ːamaː lilðˤːaːlimiːna mi nː̃asˤiːr
22:72	وَإِذَا تُتۡلَىٰ عَلَيۡهِمۡ ءَايَـٰتُنَا بَيِّنَـٰتٍ تَعۡرِفُ فِى وُجُوهِ ٱلَّذِينَ كَفَرُواۡ ٱلۡمُنكَرَ‌ۖ يَكَادُونَ يَسۡطُونَ بِٱلَّذِينَ يَتۡلُونَ عَلَيۡهِمۡ ءَايَـٰتِنَا‌ۗ قُلۡ أَفَأُنَبِّئُكُم بِشَرٍّ مِّن ذٰلِكُمُ‌ۗ ٱلنَّارُ وَعَدَهَا ٱللَّهُ ٱلَّذِينَ كَفَرُواۡ‌ۖ وَبِئۡسَ ٱلۡمَصِيرُ	waʔiðaː tutlaː ʕalajhim ʔaːjaːtunaː bajːinaːtiⁿ taʕrifu fiː wud͡ʒuːhi lːaðiːna kafaruː lmuⁿkara jakaːduːna jastˤuːna bilːaðiːna jatluːna ʕalajhim ʔaːjaːtinaː qul ʔafaʔunabːiʔukuᵐ biʃarːi mː̃iⁿ ⁿaːlikumu nː̃aːru waʕadahaː lːaːhu lːaðiːna kafaruː wabiʔsa lmasˤiːr
22:73	يَـٰٓأَيُّهَا ٱلنَّاسُ ضُرِبَ مَثَلٌ فَٱسۡتَمِعُواۡ لَهُۥٓ‌ۚ إِنَّ ٱلَّذِينَ تَدۡعُونَ مِن دُونِ ٱللَّهِ لَن يَخۡلُقُواۡ ذُبَابًا وَلَوِ ٱجۡتَمَعُواۡ لَهُۥ‌ۖ وَإِن يَسۡلُبۡهُمُ ٱلذُّبَابُ شَيۡــًٔا لَّا يَسۡتَنقِذُوهُ مِنۡهُ‌ۚ ضَعُفَ ٱلطَّالِبُ وَٱلۡمَطۡلُوبُ	jaːːʔajːuhaː nː̃aːsu dˤuriba maθaluⁿ fastamiʕuː lahuːː ʔinː̃a lːaðiːna tadᵊʕuːna miⁿ duːni lːaːhi la j̃ːaxluquː ðubaːba w̃ːalawi d͡ʒᵊtamaʕuː lahuː waʔi j̃ːaslubᵊhumu ðːubaːbu ʃajʔa lːaː jastaⁿqiðuːhu minhu dˤaʕufa tˤːaːlibu walmatˤᵊluːbᵊ
22:74	مَا قَدَرُواۡ ٱللَّهَ حَقَّ قَدۡرِهِۦٓ‌ۗ إِنَّ ٱللَّهَ لَقَوِىٌّ عَزِيزٌ	maː qadaruː lːaːha ħaqːa qadᵊrihiːː ʔinː̃a lːaːha laqawijːun ʕaziːz
22:75	ٱللَّهُ يَصۡطَفِى مِنَ ٱلۡمَلَـٰٓئِكَةِ رُسُلاً وَمِنَ ٱلنَّاسِ‌ۚ إِنَّ ٱللَّهَ سَمِيعُۢ بَصِيرٌ	ʔalːaːhu jasˤtˤafiː mina lmalaːːʔikati rusula w̃ːamina nː̃aːsi ʔinː̃a lːaːha samiːʕuᵐ basˤiːr
22:76	يَعۡلَمُ مَا بَيۡنَ أَيۡدِيهِمۡ وَمَا خَلۡفَهُمۡ‌ۗ وَإِلَى ٱللَّهِ تُرۡجَعُ ٱلۡأُمُورُ	jaʕlamu maː bajna ʔajdiːhim wamaː xalfahum waʔilaː lːaːhi turd͡ʒaʕu lʔumuːr
22:77	يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُواۡ ٱرۡكَعُواۡ وَٱسۡجُدُواۡ وَٱعۡبُدُواۡ رَبَّكُمۡ وَٱفۡعَلُواۡ ٱلۡخَيۡرَ لَعَلَّكُمۡ تُفۡلِحُونَ ۩	jaːːʔajːuhaː lːaðiːna ʔaːmanuː rkaʕuː wasd͡ʒuduː waʕbuduː rabːakum wafʕaluː lxajra laʕalːakum tufliħuːn
